,Hasil Sebenarnya,Naive Bayes,ID3
81359,0.0,1.0,0.0
13680,0.0,0.0,0.0
84226,0.0,1.0,0.0
31043,0.0,0.0,0.0
20058,0.0,1.0,0.0
75197,0.0,0.0,0.0
77489,0.0,1.0,0.0
32373,1.0,0.0,0.0
104454,0.0,0.0,1.0
23390,1.0,0.0,1.0
38405,0.0,1.0,0.0
82905,1.0,0.0,0.0
40789,0.0,1.0,1.0
109947,0.0,0.0,1.0
71111,0.0,0.0,1.0
21214,0.0,0.0,1.0
33533,0.0,0.0,0.0
89863,0.0,0.0,0.0
42422,0.0,0.0,0.0
62269,0.0,1.0,0.0
66194,0.0,0.0,0.0
128,0.0,1.0,0.0
120613,0.0,0.0,0.0
60254,0.0,1.0,1.0
16179,1.0,0.0,1.0
78393,0.0,0.0,0.0
16558,1.0,0.0,0.0
86147,0.0,0.0,0.0
79543,1.0,0.0,0.0
100488,1.0,0.0,0.0
19666,0.0,0.0,0.0
123907,1.0,0.0,0.0
125814,1.0,1.0,0.0
53293,1.0,0.0,0.0
57958,0.0,1.0,0.0
101921,0.0,0.0,1.0
34461,0.0,0.0,0.0
21495,0.0,1.0,0.0
55312,0.0,0.0,0.0
33592,0.0,0.0,1.0
94264,0.0,1.0,0.0
16377,0.0,0.0,0.0
48215,0.0,0.0,1.0
59972,0.0,0.0,0.0
26314,0.0,0.0,1.0
118410,0.0,1.0,0.0
18816,0.0,1.0,0.0
85253,0.0,0.0,0.0
46165,0.0,0.0,1.0
81983,0.0,0.0,0.0
118704,0.0,0.0,0.0
52067,0.0,0.0,0.0
110166,1.0,0.0,1.0
114862,0.0,0.0,0.0
24953,0.0,0.0,0.0
104246,0.0,0.0,0.0
83139,0.0,0.0,0.0
51071,0.0,0.0,0.0
57215,0.0,0.0,0.0
121848,0.0,0.0,0.0
65901,0.0,0.0,0.0
47736,0.0,0.0,0.0
115211,0.0,1.0,0.0
24259,0.0,0.0,0.0
105074,0.0,1.0,0.0
96954,1.0,0.0,0.0
111304,1.0,1.0,1.0
28966,0.0,0.0,0.0
122375,0.0,1.0,1.0
69428,0.0,0.0,1.0
114439,0.0,1.0,0.0
101617,1.0,0.0,0.0
114779,0.0,0.0,0.0
64269,0.0,0.0,0.0
95978,0.0,0.0,0.0
114270,0.0,1.0,0.0
24664,1.0,0.0,0.0
119220,0.0,0.0,0.0
66037,0.0,0.0,0.0
89063,1.0,0.0,0.0
37462,0.0,0.0,0.0
76047,0.0,0.0,0.0
122342,0.0,0.0,0.0
25393,1.0,1.0,0.0
112655,0.0,0.0,1.0
52184,0.0,0.0,0.0
1491,0.0,0.0,0.0
76480,0.0,0.0,0.0
28543,0.0,0.0,0.0
114625,0.0,0.0,0.0
118774,0.0,0.0,0.0
24533,0.0,0.0,0.0
38810,0.0,0.0,0.0
40052,0.0,0.0,1.0
55400,1.0,0.0,0.0
24732,0.0,0.0,0.0
111863,0.0,1.0,0.0
79318,1.0,0.0,0.0
116148,0.0,0.0,0.0
72110,0.0,0.0,1.0
94827,1.0,0.0,0.0
63430,0.0,0.0,0.0
117920,0.0,0.0,0.0
77109,0.0,0.0,0.0
54704,0.0,0.0,1.0
20183,0.0,1.0,0.0
82656,0.0,1.0,0.0
77947,0.0,0.0,0.0
77019,0.0,0.0,0.0
116610,1.0,0.0,0.0
57039,1.0,0.0,0.0
77291,1.0,0.0,0.0
24687,0.0,0.0,0.0
10737,0.0,0.0,0.0
11492,1.0,0.0,1.0
419,0.0,0.0,0.0
42945,0.0,0.0,0.0
27960,0.0,0.0,1.0
91234,0.0,0.0,1.0
38103,0.0,1.0,0.0
94327,0.0,0.0,0.0
21204,0.0,0.0,0.0
72420,0.0,1.0,1.0
120870,0.0,0.0,0.0
41416,0.0,0.0,0.0
32551,0.0,0.0,0.0
38998,0.0,0.0,1.0
59789,0.0,0.0,1.0
93162,1.0,0.0,0.0
79,0.0,0.0,0.0
111838,1.0,1.0,0.0
78652,1.0,0.0,0.0
73343,0.0,0.0,0.0
69775,0.0,0.0,0.0
53610,0.0,0.0,1.0
7377,0.0,0.0,0.0
111797,0.0,1.0,0.0
5354,0.0,0.0,1.0
11112,0.0,0.0,1.0
54383,0.0,0.0,0.0
8721,0.0,0.0,0.0
91668,0.0,1.0,0.0
116688,0.0,0.0,0.0
65501,0.0,0.0,0.0
12631,0.0,1.0,0.0
107141,0.0,0.0,0.0
59239,0.0,0.0,0.0
41490,0.0,0.0,0.0
102561,0.0,0.0,0.0
37012,0.0,0.0,0.0
123235,0.0,1.0,0.0
58654,0.0,1.0,0.0
113736,0.0,0.0,0.0
44312,0.0,0.0,1.0
18892,1.0,0.0,0.0
81254,0.0,0.0,0.0
97498,0.0,0.0,1.0
24398,1.0,0.0,0.0
115425,0.0,0.0,0.0
119743,0.0,0.0,1.0
109173,0.0,0.0,0.0
51145,0.0,0.0,0.0
95214,0.0,0.0,0.0
38022,0.0,0.0,0.0
22454,0.0,0.0,0.0
55299,0.0,1.0,0.0
12633,0.0,0.0,0.0
23283,0.0,0.0,0.0
84333,0.0,0.0,0.0
16346,1.0,0.0,1.0
116700,1.0,0.0,0.0
72583,1.0,0.0,0.0
51769,0.0,0.0,1.0
84703,1.0,0.0,0.0
108373,0.0,1.0,0.0
76482,0.0,0.0,1.0
37440,0.0,1.0,1.0
30278,0.0,0.0,0.0
91052,0.0,0.0,0.0
112317,0.0,0.0,0.0
