,Hasil Sebenarnya,Naive Bayes,ID3
6427,0.0,1.0,0.0
9812,0.0,0.0,0.0
49258,0.0,1.0,0.0
122711,1.0,0.0,0.0
107059,0.0,1.0,0.0
21615,0.0,0.0,0.0
11243,0.0,1.0,0.0
41447,0.0,0.0,0.0
87122,1.0,0.0,1.0
32994,0.0,0.0,1.0
58673,0.0,1.0,0.0
115384,0.0,0.0,0.0
12707,0.0,1.0,1.0
76232,1.0,0.0,1.0
15995,0.0,0.0,1.0
68044,1.0,0.0,1.0
127146,1.0,0.0,0.0
96271,0.0,0.0,0.0
97277,0.0,0.0,0.0
22186,0.0,1.0,0.0
119516,0.0,0.0,0.0
116719,0.0,1.0,0.0
54571,0.0,0.0,0.0
20660,0.0,1.0,1.0
56849,0.0,0.0,1.0
109281,1.0,0.0,0.0
54916,0.0,0.0,0.0
50110,1.0,0.0,0.0
11287,0.0,0.0,0.0
68529,0.0,0.0,0.0
36950,0.0,0.0,0.0
64165,0.0,0.0,0.0
81837,0.0,1.0,0.0
106943,0.0,0.0,0.0
68739,0.0,1.0,0.0
39718,1.0,0.0,1.0
15119,0.0,0.0,0.0
79086,1.0,1.0,0.0
125933,0.0,0.0,0.0
119984,1.0,0.0,1.0
36137,0.0,1.0,0.0
9761,0.0,0.0,0.0
110757,0.0,0.0,1.0
93297,1.0,0.0,0.0
3328,1.0,0.0,1.0
36248,0.0,1.0,0.0
80428,0.0,1.0,0.0
4510,0.0,0.0,0.0
38380,0.0,0.0,1.0
121885,0.0,0.0,0.0
99831,0.0,0.0,0.0
70923,0.0,0.0,0.0
39295,0.0,0.0,1.0
44570,0.0,0.0,0.0
18241,0.0,0.0,0.0
54469,0.0,0.0,0.0
121066,1.0,0.0,0.0
63975,1.0,0.0,0.0
13770,0.0,0.0,0.0
39922,0.0,0.0,0.0
10146,1.0,0.0,0.0
81143,0.0,0.0,0.0
22001,0.0,1.0,0.0
891,0.0,0.0,0.0
119489,0.0,1.0,0.0
1285,0.0,0.0,0.0
32103,1.0,1.0,1.0
29858,0.0,0.0,0.0
92177,0.0,1.0,1.0
103428,1.0,0.0,1.0
34461,0.0,1.0,0.0
83989,1.0,0.0,0.0
126688,0.0,0.0,0.0
28178,0.0,0.0,0.0
6587,0.0,0.0,0.0
12442,0.0,1.0,0.0
22757,0.0,0.0,0.0
29895,0.0,0.0,0.0
72308,0.0,0.0,0.0
81995,0.0,0.0,0.0
123993,0.0,0.0,0.0
93487,1.0,0.0,0.0
95011,0.0,0.0,0.0
90802,0.0,1.0,0.0
33753,1.0,0.0,1.0
123566,0.0,0.0,0.0
43952,0.0,0.0,0.0
95631,0.0,0.0,0.0
18968,0.0,0.0,0.0
85316,0.0,0.0,0.0
35942,0.0,0.0,0.0
51420,0.0,0.0,0.0
50916,0.0,0.0,0.0
65035,0.0,0.0,1.0
125606,1.0,0.0,0.0
125000,1.0,0.0,0.0
63666,0.0,1.0,0.0
29769,0.0,0.0,0.0
93309,0.0,0.0,0.0
74816,0.0,0.0,1.0
25397,0.0,0.0,0.0
22733,0.0,0.0,0.0
105918,0.0,0.0,0.0
35524,0.0,0.0,0.0
36115,0.0,0.0,1.0
49263,0.0,1.0,0.0
97347,0.0,1.0,0.0
35237,0.0,0.0,0.0
75219,0.0,0.0,0.0
63044,0.0,0.0,0.0
24886,0.0,0.0,0.0
78713,1.0,0.0,0.0
52379,0.0,0.0,0.0
14838,0.0,0.0,0.0
20909,0.0,0.0,1.0
29852,0.0,0.0,0.0
44087,0.0,0.0,0.0
49663,1.0,0.0,1.0
41743,0.0,0.0,1.0
29984,0.0,1.0,0.0
62197,0.0,0.0,0.0
114981,1.0,0.0,0.0
16809,0.0,1.0,1.0
61316,0.0,0.0,0.0
55041,1.0,0.0,0.0
